"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Sep 27 2018","2458388.4999537035","559699201","8.93","9.34e-8","3.95e-8","-2.61","-","5.16","1e-8","0","bin124.log"
"Oct 27 2018","2458418.4999537035","562291201","33.65","1.17e-7","2.73e-8","-2.61","-","27.68","1e-8","0","bin125.log"
"Nov 26 2018","2458448.4999537035","564883201","85.09","1.44e-7","2.20e-8","-2.61","-","56.97","1e-8","0","bin126.log"
"Dec 26 2018","2458478.4999537035","567475201","63.18","9.02e-8","1.60e-8","-2.61","-","86.81","1e-8","0","bin127.log"
"Jan 25 2019","2458508.4999537035","570067201","36.62","9.32e-8","2.00e-8","-2.61","-","117.16","1e-8","0","bin128.log"
"Feb 24 2019","2458538.4999537035","572659201","18.79","5.57e-8","1.67e-8","-2.61","-","147.56","1e-8","0","bin129.log"
"Mar 26 2019","2458568.4999537035","575251201","3.22","< 5.61e-8","-","-","-","177.36","1e-8","0","bin130.log"
"Apr 25 2019","2458598.4999537035","577843201","19.18","7.24e-8","2.34e-8","-2.61","-","153.01","1e-8","0","bin131.log"
"May 25 2019","2458628.4999537035","580435201","37.43","8.35e-8","1.77e-8","-2.61","-","124.00","1e-8","0","bin132.log"
"Jun 24 2019","2458658.4999537035","583027201","8.28","3.55e-8","1.54e-8","-2.61","-","95.00","1e-8","0","bin133.log"
"Jul 24 2019","2458688.4999537035","585619201","49.74","8.18e-8","1.60e-8","-2.61","-","65.87","1e-8","0","bin134.log"
"Aug 23 2019","2458718.4999537035","588211201","38.11","9.60e-8","2.12e-8","-2.61","-","36.74","1e-8","0","bin135.log"
"Sep 22 2019","2458748.4999537035","590803201","25.41","9.03e-8","2.34e-8","-2.61","-","8.59","1e-8","0","bin136.log"
"Oct 22 2019","2458778.4999537035","593395201","177.9","2.39e-7","2.60e-8","-2.61","-","22.64","1e-8","0","bin137.log"
"Nov 21 2019","2458808.4999537035","595987201","81.59","1.24e-7","1.90e-8","-2.61","-","51.81","1e-8","0","bin138.log"
"Dec 21 2019","2458838.4999537035","598579201","34","7.57e-8","1.65e-8","-2.61","-","81.55","1e-8","0","bin139.log"
